id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,gender,age_group,color,size
2742983,American Alligator Wallet,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/brooks-brothers/american-alligator-wallet,https://img.shopstyle-cdn.com/pim/1d/43/1d436696f755de354f4483b168589139_best.jpg,new,in stock,648 USD,648 USD,male,Adult,navy,medium
203535945,B Smooth High Cut Briefs,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/wacoal/b-smooth-high-cut-briefs,https://img.shopstyle-cdn.com/pim/5f/50/5f509bd1d64058646cce93de617fcde0_best.jpg,new,in stock,15 USD,15 USD,null,Adult,navy,medium
331974265,Tom Ford Jennifer 61mm Polarized Open Temple Sunglasses,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=331974265,https://img.shopstyle-cdn.com/pim/06/3a/063a848f6c197313ff3e9a6665bd48a7_best.jpg,new,in stock,455 USD,0 USD,null,Adult,navy,medium
111427956,The Classic Giant Check Cashmere Scarf,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/burberry/the-classic-giant-check-cashmere-scarf,https://img.shopstyle-cdn.com/pim/d7/1d/d71dc179bb70a90ff809e282ee37ec91_best.jpg,new,in stock,470 USD,470 USD,male,Adult,navy,medium
187028835,Forzieri Italian Handcrafted Two-tone Wingtip Oxford Shoes,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/forzieri/italian-handcrafted-two-tone-wingtip-oxford-shoes,https://img.shopstyle-cdn.com/pim/5f/f1/5ff11a92834158fe4a5d98d225edad62_best.jpg,new,in stock,924 USD,924 USD,female,Adult,navy,medium
177973032,James Perse KNIT JERSEY PAJAMA PANT,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=177973032,https://img.shopstyle-cdn.com/pim/43/76/4376e86b2aa52b2545a834f2048c2712_best.jpg,new,in stock,90 USD,0 USD,null,Adult,navy,medium
299447906,Syracuse OrangeInsulated Backpack,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=299447906,https://img.shopstyle-cdn.com/pim/b8/56/b8567335f73a712fb521ace398b133a9_best.jpg,new,in stock,75 USD,0 USD,null,Adult,navy,medium
248658492,Solid Silk Scarf,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/forzieri/solid-silk-scarf,https://img.shopstyle-cdn.com/pim/11/c1/11c11ce80186a0572b459a99a6071d43_best.jpg,new,in stock,119 USD,119 USD,male,Adult,navy,medium
180325771,"Mikimoto Women's Morning Dew 8mm Cultured Pearl, Diamond & 18K White Gold Ring",null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/mikimoto/womens-morning-dew-8mm-cultured-pearl-diamond-18k-white-gold-ring,https://img.shopstyle-cdn.com/pim/cf/cd/cfcdad12e3c92018d93928a507dcf187_best.jpg,new,in stock,2700 USD,2700 USD,female,Adult,navy,medium
32153553,Brooks Brothers Barathea Full-Back Vest,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=32153553,https://img.shopstyle-cdn.com/pim/bf/a4/bfa4760a4a8567180c2c829209c4b435_best.jpg,new,in stock,198 USD,0 USD,null,Adult,navy,medium
31873,David Yurman Women's Crossover Wide Ring with Diamonds in Gold,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=31873,https://img.shopstyle-cdn.com/pim/2f/af/2faf158e0618ca59cf76779edcb9b331_best.jpg,new,in stock,2800 USD,0 USD,female,Adult,navy,medium
244154792,Lipstick Queen Women's Jean Queen Lipstick - Jean Queen,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=244154792,https://img.shopstyle-cdn.com/pim/61/a1/61a1dfe29e5e41ac289cd851ecd62483_best.jpg,new,in stock,24 USD,0 USD,female,Adult,navy,medium
328799408,Barneys New York Men's Silk Pocket Square - White,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=328799408,https://img.shopstyle-cdn.com/pim/58/55/585540387f6607316c3f7734adf3a65a_best.jpg,new,in stock,80 USD,0 USD,male,Adult,navy,medium
3315160,Ray-Ban 'Big Glamour' 60mm Polarized Sunglasses,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=3315160,https://img.shopstyle-cdn.com/pim/25/59/25597c9166c1eea7401f551ed72f958c_best.jpg,new,in stock,178 USD,0 USD,null,Adult,navy,medium
277566345,Lysse Control Top Leggings,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=277566345,https://img.shopstyle-cdn.com/pim/66/a9/66a9b0046299cec2e1b369b3a5235f9b_best.jpg,new,in stock,64 USD,0 USD,null,Adult,navy,medium
31536,Ermenegildo Zegna Men's Reversible Belt,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/ermenegildo-zegna/mens-reversible-belt,https://img.shopstyle-cdn.com/pim/7f/db/7fdb1684eef43ca58fdfe3394762c370_best.jpg,new,in stock,295 USD,295 USD,male,Adult,navy,medium
289799803,"Ray-Ban Sunglasses, RB3386",null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/ray-ban/sunglasses-rb3386,https://img.shopstyle-cdn.com/pim/a5/6f/a56fd25bcbd8a1ddb43dfafca693b779_best.jpg,new,in stock,169 USD,169 USD,male,Adult,navy,medium
333765695,'New Wayfarer' 55mm Sunglasses,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/ray-ban/new-wayfarer-55mm-sunglasses,https://img.shopstyle-cdn.com/pim/55/c3/55c31419ff3f70c69d2f58bfea3c8b0e_best.jpg,new,in stock,189 USD,189 USD,male,Adult,navy,medium
238175370,Forzieri Black Italian Handcrafted Leather Oxford Dress Shoes,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/forzieri/black-italian-handcrafted-leather-oxford-dress-shoes,https://img.shopstyle-cdn.com/pim/5c/18/5c189afb6de988f13fba8456ea0e5a7e_best.jpg,new,in stock,875 USD,875 USD,female,Adult,navy,medium
329226717,Men's Dockers Reversible Edge Stitch Leather Belt,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=329226717,https://img.shopstyle-cdn.com/pim/a8/16/a816554747a95972781f0f01a579aced_best.jpg,new,in stock,30 USD,0 USD,male,Adult,navy,medium
329939053,Charter Club Petite Sleeveless Shell,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=329939053,https://img.shopstyle-cdn.com/pim/56/22/5622e06440f510f86b98c82adbce3595_best.jpg,new,in stock,24.50 USD,0 USD,null,Adult,navy,medium
108940103,Croft & Barrow Reversible Belt - Extended Size,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/men/croft-barrow/reversible-belt-extended-size,https://img.shopstyle-cdn.com/pim/3c/69/3c69f8b2d0a9eaaf84c7dcfb82917197_best.jpg,new,in stock,30 USD,30 USD,male,Adult,navy,medium
244139631,Finn Women's Pavé Love Knot Ring,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/action/loadRetailerProductPage?id=244139631,https://img.shopstyle-cdn.com/pim/0b/73/0b735f226e9aae80d1963ae0fadb1916_best.jpg,new,in stock,3650 USD,0 USD,female,Adult,navy,medium
24690128,Eileen Fisher Stretch Ankle Leggings,null,Apparel & Accessories > Clothing > Pants > Jeans,Women's Clothing > Jeans > Bootcut Jeans,https://www.shopstyle.com/g/women/eileen-fisher/stretch-ankle-leggings,https://img.shopstyle-cdn.com/pim/76/5c/765c1a9da33c86e334f16fea6c445266_best.jpg,new,in stock,98 USD,98 USD,female,Adult,navy,medium
